Index_df1,Value1,Value2,Value3,Value4,Value5,Total,Blank_Column,Index_df2,Value1,Value2,Value3,Value4,Value5,Total
1.0,14.0,0.0,0.0,0.0,0.0,14.0,,38.0,2.0,5.0,7.0,11.0,2.0,27.0
2.0,17.0,0.0,0.0,0.0,0.0,17.0,,39.0,1.0,4.0,9.0,7.0,3.0,24.0
3.0,18.0,2.0,0.0,0.0,0.0,20.0,,23.0,4.0,9.0,7.0,2.0,1.0,23.0
4.0,7.0,1.0,0.0,1.0,0.0,9.0,,44.0,0.0,1.0,6.0,9.0,6.0,22.0
5.0,18.0,2.0,0.0,0.0,0.0,20.0,,57.0,0.0,0.0,1.0,1.0,20.0,22.0
6.0,12.0,2.0,0.0,0.0,0.0,14.0,,13.0,9.0,7.0,5.0,0.0,0.0,21.0
7.0,7.0,8.0,0.0,0.0,0.0,15.0,,56.0,0.0,0.0,0.0,2.0,19.0,21.0
8.0,8.0,11.0,1.0,0.0,0.0,20.0,,49.0,0.0,0.0,4.0,10.0,6.0,20.0
9.0,8.0,4.0,2.0,0.0,0.0,14.0,,8.0,8.0,11.0,1.0,0.0,0.0,20.0
10.0,6.0,8.0,1.0,0.0,0.0,15.0,,5.0,18.0,2.0,0.0,0.0,0.0,20.0
11.0,5.0,9.0,0.0,0.0,0.0,14.0,,3.0,18.0,2.0,0.0,0.0,0.0,20.0
12.0,7.0,6.0,2.0,0.0,0.0,15.0,,52.0,0.0,0.0,2.0,7.0,10.0,19.0
13.0,9.0,7.0,5.0,0.0,0.0,21.0,,36.0,0.0,4.0,8.0,3.0,4.0,19.0
14.0,4.0,9.0,1.0,0.0,0.0,14.0,,41.0,0.0,0.0,8.0,7.0,3.0,18.0
15.0,5.0,8.0,2.0,0.0,0.0,15.0,,51.0,0.0,1.0,1.0,6.0,10.0,18.0
16.0,5.0,7.0,5.0,0.0,0.0,17.0,,16.0,5.0,7.0,5.0,0.0,0.0,17.0
17.0,3.0,6.0,6.0,0.0,0.0,15.0,,50.0,0.0,0.0,0.0,9.0,8.0,17.0
18.0,0.0,1.0,3.0,0.0,0.0,4.0,,45.0,0.0,0.0,2.0,7.0,8.0,17.0
19.0,4.0,4.0,3.0,3.0,0.0,14.0,,2.0,17.0,0.0,0.0,0.0,0.0,17.0
20.0,0.0,3.0,2.0,0.0,0.0,5.0,,34.0,1.0,4.0,7.0,4.0,1.0,17.0
21.0,1.0,5.0,7.0,1.0,0.0,14.0,,43.0,0.0,2.0,5.0,7.0,2.0,16.0
22.0,1.0,1.0,1.0,5.0,0.0,8.0,,29.0,1.0,4.0,6.0,4.0,1.0,16.0
23.0,4.0,9.0,7.0,2.0,1.0,23.0,,59.0,0.0,0.0,0.0,2.0,14.0,16.0
24.0,2.0,4.0,7.0,1.0,0.0,14.0,,25.0,2.0,4.0,7.0,3.0,0.0,16.0
